staff_id,staff_name,staff_job_level,staff_street,staff_state,staff_city,staff_country,staff_contact_number,staff_creation_date
S0034102,Rusty Muller,Entry,75849 New Spring Mouth,Nebraska,Wichita,Saint Kitts and Nevis,451-749-1606,2020-01-01T11:29:44
S0014596,Candido Kohler,Entry,83408 New Key Burgh,Utah,Henderson,Bouvet Island,545-803-1303,2020-01-02T19:31:00
S0015639,Joey Bins,Entry,798 Village Stad,Arkansas,Seattle,Albania,483-205-0084,2020-01-03T04:26:18
S0032508,Flavio Price,Entry,962 Corners Mouth,Georgia,Charlotte,Norway,664-441-6626,2020-01-03T04:55:45
S0016402,Schuyler Durgan,Intermediate,471 Forks Land,New York,Omaha,Northern Mariana Islands,362-427-3550,2020-01-03T06:50:11
S0024582,Chaya Corkery,Intermediate,5282 Port Points Burgh,Massachusetts,New York City,Czechia,828-578-8848,2020-01-04T08:08:44
S0021812,Willie Bartell,Entry,7319 Spring Mouth,Kentucky,Durham,Ukraine,564-680-6331,2020-01-04T22:44:32
S0043090,Rhett Jacobi,Intermediate,5789 Port Crossing Berg,Nevada,Mesa,Laos,430-377-0288,2020-01-05T06:28:11
S0051281,Orpha Leffler,Entry,3671 Ports Shire,California,Fort Wayne,Brunei Darussalam,069-286-5283,2020-01-05T19:55:59
S0039211,August Aufderhar,Intermediate,85566 East Stravenue Mouth,Kansas,Long Beach,Guyana,373-039-8232,2020-01-06T05:44:08
S0061657,Lavon DuBuque,Entry,775 Island Borough,Vermont,Aurora,French Guiana,153-732-9261,2020-01-06T06:58:11
S0037820,Nicholaus Langosh,Entry,18837 Port Stravenue Berg,Arizona,Orlando,Iraq,492-315-2447,2020-01-06T07:05:34
S0010241,Mackenzie Dicki,Senior,54040 New Brooks View,Rhode Island,Philadelphia,Montserrat,946-686-2072,2020-01-06T07:18:07
S0059137,Helena Sauer,Entry,5885 New Forges Port,Indiana,Louisville/Jefferson,Arab Emirates,522-963-0525,2020-01-06T19:16:45
S0019440,Jena Beahan,Entry,4366 Parkway Port,New Mexico,Birmingham,Ecuador,055-365-1872,2020-01-06T23:30:26
S0042735,George Jacobi,Entry,96317 North Avenue Furt,Idaho,Austin,Heard Island and McDonald Islands,920-921-5251,2020-01-07T01:03:09
S0055677,Angeline Lynch,Senior,3699 Roads Burgh,Delaware,Long Beach,Australia,853-040-6167,2020-01-08T04:58:19
S0042598,Skyla Smitham,Entry,3083 Cliffs Shire,Nevada,Oklahoma,Mozambique,130-735-2437,2020-01-08T05:37:21
S0047624,Louisa Conn,Senior,4888 West Ways Town,Massachusetts,Irvine,Djibouti,894-240-1295,2020-01-08T06:25:12
S0012541,Kurt Nader,Entry,924 Square Ton,Arkansas,Garland,Guernsey,437-887-5757,2020-01-08T12:08:07
S0001735,Misael Kuvalis,Intermediate,3062 West Expressway View,Florida,Anaheim,Kuwait,108-276-7182,2020-01-08T16:07:09
S0029921,Rowland Dach,Entry,996 Courts View,Maryland,Las Vegas,Dominican,470-358-6036,2020-01-08T21:18:26
S0059032,Tyrell Johnson,Intermediate,29528 East Green Stad,Montana,New Orleans,French Southern Territories,207-642-9339,2020-01-08T22:51:32
S0059876,Demarcus Von,Entry,3722 Vista Chester,Nebraska,St. Louis,Slovenia,749-232-0584,2020-01-09T16:59:16
S0057213,Mathew Stehr,Entry,71619 Lake Plain Mouth,Wyoming,Durham,Gambia,078-986-0145,2020-01-09T17:22:59
S0043469,Marvin Medhurst,Entry,3531 Pine Town,Iowa,San Francisco,"Bonaire, Sint Eustatius and Saba",005-181-8117,2020-01-10T19:08:02
S0007418,Jailyn Grimes,Entry,6170 North Crossroad Berg,Tennessee,Wichita,Mauritania,706-241-4813,2020-01-11T12:52:52
S0058934,River Gerlach,Intermediate,865 Views Ville,South Carolina,San Jose,Cura̤ao,828-963-5852,2020-01-11T14:50:49
S0027439,Eladio Wilderman,Intermediate,26060 Viaduct Ton,Idaho,Tucson,Uganda,214-665-2375,2020-01-11T22:15:41
S0057630,Isaias Bode,Entry,649 Mountains Chester,New York,Houston,Malaysia,956-107-0397,2020-01-12T00:31:31
S0008791,Eric Hoeger,Entry,81886 West Rue Ville,Mississippi,Memphis,Malaysia,964-818-8215,2020-01-12T13:11:49
