user_id,user_creation_date,user_name,user_street,user_state,user_city,user_country,user_birthdate,user_gender,user_device_address,user_type,user_credit_card_number,user_issuing_bank,user_job_title,user_job_level
U40678,2021-03-17T22:56:13,Zion Feest,14938 West Trace Side,New Jersey,Birmingham,HONG KONG,1998-04-06T05:29:37,male,17:fb:f2:60:94:4b,basic,fc4fda3633a74aaf591636f9a7821e650c1297d26823ebeabfb79b4090d4472c,BPI,Technician,Accounts
U08728,2022-10-10T12:53:20,Kattie Bergstrom,4476 West Haven Fort,Alabama,Irvine,MAYOTTE,2003-05-22T11:16:19,male,b0:17:a7:0b:d6:67,premium,91575369c7254c8528b9181ea0133c0385e0fb475812eb15e4df74d1db1ea0d8,BDO,Technician,Solutions
U29759,2020-05-20T04:34:44,Aiden Corwin,59980 North Crest Chester,North Carolina,Tampa,IRAQ,2008-08-29T16:42:05,female,24:f2:0b:88:2f:bd,basic,1b273fd23874930928f2f2fa6ba3fb9c7902176f1e4e0dca82f93d3c9ecb975e,BDO,Student,
U16806,2021-05-28T07:36:30,Vince Gislason,541 Radial Mouth,Illinois,Orlando,NEW ZEALAND,2012-02-09T14:12:37,male,a4:f5:fd:fe:07:f9,basic,05a606b179610941ef651d43e8f96023d6f4e1387e6cbd35f6a54153ea1519f3,CHINABANK,Student,
U27644,2023-03-16T19:25:35,Adele Okuneva,896 Glen Bury,Arizona,Reno,MEXICO,1976-10-13T00:53:54,male,ac:80:b3:bc:8d:5f,premium,68bf77e66cba8ad78c9d1b09246edd43da2489d17105440b6d5a986723638b79,CHINABANK,Associate,Usability
U00616,2020-07-04T04:45:27,Joshuah Jacobi,735 Isle Berg,Illinois,Portland,AFGHANISTAN,2019-10-04T12:05:41,female,a5:88:49:43:4a:f1,basic,ed5dce477da0c582e75951858e841c236a1d1c2b34321c140e6c48400a7152ce,CHINABANK,Student,
U11325,2023-03-03T14:14:12,Cecelia Homenick,373 West River Furt,Missouri,Kansas ,EL SALVADOR,1985-01-14T10:47:38,male,8b:e3:2d:cf:a8:0d,basic,87f12f4266c570cbef6792164eea60b57d061e00cd135b1ef49878b2ffee6717,METROBANK,Technician,Mobility
U17253,2022-03-09T06:11:17,Santa Lehner,9814 New Vista Chester,Nebraska,Charlotte,"MOLDOVA, REPUBLIC OF",1987-08-26T10:39:59,female,73:94:a8:42:14:77,verified,22a95a723830df9179c99d697a7c84ca2a7eca590142521be71f1a15eefb4e81,CHINABANK,Associate,Operations
U62341,2021-07-04T12:18:29,Allen Gutmann,729 Corner Ville,Georgia,Albuquerque,ESTONIA,1992-05-16T00:39:11,female,f2:43:09:5e:33:76,basic,f2cf60a443aef2e9e83d9bdada36e4bdcd755e193cba520226ca54d96ad584d5,BPI,Liaison,Security
U32334,2022-05-12T18:35:08,Dorian Will,26368 Locks Side,Washington,Durham,ARMENIA,1995-02-23T11:21:36,female,06:5d:42:5c:ca:0f,premium,03d3ffa63ae0ac592b26a7d74770b9664f3987004091d0bdaefcf29500c0b2fd,METROBANK,Director,Assurance
U02300,2022-03-14T13:09:15,Aubrey Mitchell,91466 East Plaza Borough,New York,Kansas ,GABON,1983-07-19T17:07:22,female,87:10:04:e7:a3:94,premium,9861b70cbd834577cb2ef9e6fdc57d2ae2b9a4126c686c837cbe03e5a165bbc4,METROBANK,Producer,Markets
U24692,2021-08-16T04:41:32,Kaci Schmidt,10436 Club Shire,Alabama,Oklahoma ,GERMANY,2011-02-21T08:28:29,female,b4:5a:df:9f:54:b5,premium,59cb1ceaefb9d4dff5d9d14eaf0c9358bd5c87093a796cce058ab097cfe93977,METROBANK,Student,
U15171,2023-05-04T07:40:02,Junius Watsica,38714 Branch Haven,Texas,Arlington,SERBIA,2009-06-23T17:16:49,male,0a:90:c6:3c:b2:62,basic,16ebaeda825bc56af205ce49931bef6a6e962d7339a307321c9fbbb072f539fb,MAYABANK,Student,
U47527,2021-06-04T08:42:04,Jamaal Mann,35116 Pike Berg,Hawaii,Virginia Beach,ZAMBIA,2008-02-15T14:36:37,female,5c:c6:31:77:29:25,basic,7660156c740167e7506fb03d54ad465a82fb33c1bec3455aa709274a3c81711e,ROBINSONSBANK,Student,
U18395,2020-07-16T12:58:18,Arden Adams,5987 Roads Shire,Vermont,Dallas,SVALBARD AND JAN MAYEN,1981-12-11T19:44:18,female,f1:f2:61:a3:37:3d,basic,3dad97ce877dd24540c77595ff3ef48529b2e0950ab0b954df126c28b57bcb6e,ROBINSONSBANK,Executive,Implementation
U29028,2020-03-23T17:17:08,Cali Walker,581 Avenue Bury,Wisconsin,Orlando,EL SALVADOR,1994-10-02T22:53:53,female,18:f8:76:e3:6b:0c,basic,f2bb63a006d03743593cbfdd426f43a9d0e6a52689cdc817d576660af229cc30,SECURITYBANK,Strategist,Paradigm
U56270,2020-04-14T19:06:23,Marjolaine Mitchell,34062 Avenue Furt,Delaware,Garland,KUWAIT,2002-11-17T04:22:48,male,e8:e8:43:f3:73:08,basic,4c3c342ae0ea6967caaf07cdde71d1e34c932805e5d7394b538788683b8d203f,METROBANK,Planner,Creative
U14488,2020-10-15T23:28:04,Elmer Torp,7189 Lake Vista View,Illinois,San Jose,BOSNIA AND HERZEGOVINA,1971-01-11T21:56:34,male,52:99:5e:31:9d:93,basic,7098a4845e12d6fc39d5f06f781873356e4448c7f0d73dd495d9002ffdaa7409,BPI,Facilitator,Response
U18114,2020-06-18T20:35:57,Scot Raynor,3503 Mountains View,Tennessee,Fort Wayne,TOGO,1971-10-25T09:53:22,female,5e:f2:34:2f:3b:5d,basic,992d90b6d1022fd1eb73e11c579a0ab1ecea828361a59f1999672843536ba366,SECURITYBANK,Designer,Accountability
U08951,2022-12-21T12:13:48,Diana Torp,585 Drives Bury,Wyoming,Miami,HONG KONG,2017-10-12T06:31:31,female,29:db:6d:5b:6e:80,premium,eb2510cfaf42b6c7806185e5839a089f12e4620561c33d25be0e6c2858087abc,CHINABANK,Student,
U59325,2021-02-25T11:39:07,Sally Cassin,87251 Path Land,Maine,Houston,ITALY,1990-12-28T04:44:00,male,de:92:8b:49:51:2c,basic,329d1bd32689670a606b43a8b97058e8f57a21f13fe09e82900eebc3d90ee96c,ROBINSONSBANK,Producer,Interactions
U46405,2020-11-20T00:02:50,Lafayette Hessel,25777 Loop Burgh,New Jersey,North Las Vegas,PARAGUAY,1985-01-26T00:22:11,male,da:1f:93:7d:81:bf,basic,d36d2ba16480cd4b01eeff92634ad72b684226ae2566b15a7ed233370c49af5c,SECURITYBANK,Technician,Directives
U09125,2022-04-05T04:24:07,Eliezer Bernhard,593 Causeway Side,Georgia,Tucson,KIRIBATI,2004-03-07T13:26:42,female,6c:d7:7c:45:e5:36,basic,0d9e22ffc3ba2fb8ba9d1f5c07917d27d861a4760af0a4952cabcf9c04f531fc,CHINABANK,Producer,Intranet
U23143,2020-06-02T14:32:12,Dora Jacobs,4296 Lake Course View,Arkansas,Omaha,SIERRA LEONE,1974-10-12T04:24:33,female,23:2b:41:14:26:ac,basic,ea6c683f36d89cff69d8777c643e6faf245907a9bb951e95d5b83f7e3747eab0,EASTWEST,Orchestrator,Configuration
